	TF	BM	BM+TF	cofactors	cofactors+TF	random	random+TF
0	ATF7	0.8731927826047873	0.8894641884392944	0.8792465434693686	0.8905106045050838	0.8138065378638653	0.8880487438571055
1	ERG	0.7072038201678588	0.6567699868085575	0.635077141382869	0.595454248366013	0.6272524365697336	0.6650641185689372
2	ETV4	0.9081598777231384	0.9001211696600546	0.7967894807544595	0.8828497989793546	0.6996758074950867	0.8793737882404236
3	HNF4A	0.936342016808845	0.9440926072369586	0.8969882101545256	0.9352897835057519	0.8759558954581861	0.9235331070991524
4	JUND	0.8962311944943417	0.9001348868519934	0.8964638545551404	0.8980599148634131	0.8862837042209886	0.8964509403266365
5	KLF9	0.9008817402704092	0.927902638758547	0.7766877791913414	0.9033435110149863	0.7026778710804102	0.9086538141304891
6	MAX	0.8836726758175436	0.8895576353984309	0.8851795508888181	0.8988521524752633	0.8694789458445691	0.8931102264241936
7	MEF2A	0.7895064133604913	0.8833382353019855	0.755809218602137	0.9117704304549132	0.6764922240647611	0.8720786118452066
8	MNT	0.9118753082182973	0.895089542296175	0.8952650079913556	0.9008140030189308	0.8310043960131086	0.8827941680295893
9	NFE2L1	0.9438480834673104	0.9415304350036369	0.9672194118995827	0.9589916953047496	0.644679812270937	0.8652444629399335
10	NR2C2	0.8658588630927474	0.8938014816417456	0.7560698211592591	0.8426716552102178	0.6785261409969594	0.7851989266977113
11	SP1	0.7803112940664636	0.8145808879331256	0.757742529550511	0.7798954434738788	0.7918205649784448	0.8127241567677036
12	SPI1	0.937933317511076	0.9490008639292403	0.932219054339351	0.9475271511733452	0.9159421515852543	0.9406579251196809
13	SREBF2	0.45	0.5333333333333334	0.4833333333333334	0.3888888888888889	0.3466666666666667	0.6583333333333334
14	VDR	0.668949753949754	0.7041401631877824	0.589656862745098	0.606510989010989	0.5370436507936509	0.5297926093514329
15	ZNF740	0.8341995952060351	0.8498851839373162	0.6876190476190477	0.7033333333333334	0.5334712728791676	0.8162538858270121
